
   • Packages in scope: @mist/api, @mist/web, @mist/worker
   • Running start in 3 packages
   • Remote caching disabled

@mist/web:start: cache bypass, force executing 0d8983e59e4fc9f4
@mist/api:start: cache bypass, force executing f2d10b222b42d010
@mist/worker:start: cache bypass, force executing 19b194ac33b053cc
@mist/web:start: $ bun --env-file=../../.env.local --bun next start
@mist/api:start: $ bun --env-file=../../.env.local src/server.ts
@mist/worker:start: $ bun --env-file=../../.env.local src/index.ts
@mist/web:start: ▲ Next.js 16.1.6
@mist/web:start: - Local:         http://localhost:3000
@mist/web:start: - Network:       http://192.168.56.1:3000
@mist/web:start: 
@mist/web:start: ✓ Starting...
@mist/web:start: ✓ Ready in 3s
@mist/worker:start: [worker] online
@mist/api:start: [api] listening on http://localhost:4000
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 5ms
@mist/api:start: [api] GET / 200 6ms
@mist/api:start: [api] GET / 200 5ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET / 200 5ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET /search 200 4ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 8ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET /search 200 4ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET /search 200 4ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET /search 200 11ms
@mist/api:start: [api] GET / 200 11ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 5ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 4ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET /search 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 3ms
@mist/api:start: [api] GET /search 200 2ms
@mist/api:start: [api] GET / 200 2ms
@mist/api:start: [api] GET / 200 1ms
@mist/api:start: [api] GET / 200 3ms
